title,desc,year,genre,certificate,runtime,rating,votes
Scoob!: Holiday Haunt,"To celebrate Scooby-Doo's first Christmas, 10-year-old Shaggy and the gang take him to a holiday-themed resort owned by Fred's Uncle Ned. The kids are forced to solve a 40-year-old mystery to save the resort from a ghostly haunting.",,"Animation, Adventure, Comedy",,,,
Bakugan Battle Brawlers,A boy wants to be the best in ranking of an inter-dimensional game.,2007–2011,"Animation, Action, Adventure",,22 min,5.6,"2,962"
Kaijû no kodomo,"A young girl is drawn into a mystery involving sealife around the world, in which two mysterious boys are somehow involved.",2019,"Animation, Adventure, Fantasy",,111 min,6.5,"3,107"
Booba,"A family show following the adventures of a joyful, funny and curious little creature called Booba and his friends. They always find themselves in hilarious situations trying to explore the world around them.",2014– ,"Animation, Comedy, Family",All,96 min,7.1,434
Kyaputen Tsubasa,Tsubasa Oozora is an 11-year-old elementary school student who is deeply in love with football and dreams of one day winning the FIFA World Cup for Japan.,1983–1995,"Animation, Comedy, Drama",,30 min,7.9,"6,841"
Total Dramarama,"Spin-off of Total Drama Island (2007), with the characters we love, plus Jude from 6Teen (2004), as kids.",2018–2022,"Animation, Comedy, Family",,11 min,3.9,790
"Kumo no mukô, yakusoku no basho","In an alternate postwar timeline, Japan is divided into the Union-controlled North and the US-controlled South.",2004,"Animation, Drama, Romance",,90 min,6.9,"14,248"
gen:LOCK,"Earth, 2068. City by city, free society is being forcibly absorbed into a vast autocracy. One military force holds the line. One pilot could turn the tide.",2018– ,"Animation, Action, Adventure",,30 min,7.3,"1,616"
My Adventures with Superman,"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing.",2023– ,"Animation, Action, Adventure",,,,
My Life as a Teenage Robot,The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.,2002–2022,"Animation, Action, Adventure",,23 min,7.0,"10,373"
Rudolph the Red-Nosed Reindeer: The Movie,It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,1998,"Animation, Adventure, Family",,92 min,5.8,"2,923"
Gyakkyô burai Kaiji,"Kaiji Itou is a good-for-nothing loiterer who spends his days drinking beer and stealing hubcaps-that is, until he ends up being tricked by his former co-worker. Unable to suddenly repay ...                See full summary »",2007–2011,"Animation, Action, Thriller",,23 min,8.2,"3,286"
Unicorn Wars,"This story tracks two brother teddy bear soldiers, Azulín, who yearn for unicorn blood to be beautiful for ever; and Gordi, who just wants to be accepted and liked.",2022,"Animation, Action, Comedy",,80 min,6.9,249
"Hansel, Gretel i Agentstvo Magii","The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",2021,"Animation, Adventure, Comedy",7,103 min,6.2,"4,294"
Asobi ni ikuyo!,A cat-eared alien moves into a naive boy's room as powerful forces close in on them.,2010–2011,"Animation, Comedy, Romance",,,6.4,600
Durarara!!,"Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is full of connected mysteries where people's pasts intertwine with the present.",2010,"Animation, Action, Comedy",,24 min,7.8,"7,389"
Muppet Babies,Baby versions of Jim Henson's famous Muppet characters go on wacky adventures through their imaginations,2018–2022,"Animation, Adventure, Comedy",,23 min,6.7,752
Joze to tora to sakanatachi,Tsuneo is a university student and Josee is a young girl who has rarely gone out of the house by herself due to her being unable to walk. The two meet when Tsuneo finds Josee's grandmother taking her out for a evening walk.,2020,"Animation, Drama, Romance",,99 min,7.6,"5,411"
Stitch!,Follows a girl named Yuuna and her adventures with a mysterious space alien on an island off the coast of Japan.,2008–2015,"Animation, Comedy, Family",,,4.5,308
Stingray,"Follows the adventures of the World Aquanaut Security Patrol, particularly the crew of its most advanced combat submarine called Stingray.",1964–1965,"Animation, Action, Adventure",,30 min,7.3,"1,274"
Natsume yûjinchô,When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to return their names so they can be free once again.,2008– ,"Animation, Comedy, Drama",,24 min,8.1,"2,145"
Biker Mice from Mars,"When three alien motorcycle riding mice are forced to leave their home planet of Mars thanks to the evil mining Plutarkians, they rebel against their enemies on planet Earth and the city of Chicago.",1993–1996,"Animation, Action, Adventure",,30 min,7.0,"4,634"
The Yakuza's Guide to Babysitting,"Yakuza soldier Kirishima Tooru ha a very bloody, approach to life. The head of the Sakuragi family is so concerned about Kirishima's lack of restraint, he orders Kirishima to become the babysitter to his young daughter, Yaeka.",2022– ,"Animation, Comedy, Crime",,,7.4,378
Team Umizoomi,"Umifriend, Team Umizoomi needs your help! Build a super fast speedboat with shapes. Use pattern power to make chocolate and strawberry milk. Fix a broken subway train and so much more with these tiny super heroes!",2010–2015,"Animation, Family",,24 min,6.1,"1,006"
Fanboy & Chum Chum,"This show is based around two children that dress up as superhero-themed people and go around creating havoc wherever they go, but in the end of some episodes, a resolution is reached, in ...                See full summary »",2009–2014,"Animation, Short, Action",,24 min,3.3,"4,145"
Phineas and Ferb the Movie: Candace Against the Universe,The famed stepbrother inventors know what they're gonna do today. They're gonna rescue their sister from an alien abduction.,2020,"Animation, Adventure, Comedy",,86 min,7.1,"4,725"
Raggedy Ann & Andy: A Musical Adventure,"Raggedy Ann and Andy leave their playroom to rescue Babette, a beautiful French doll kidnapped by pirates.",1977,"Animation, Adventure, Comedy",,84 min,6.6,923
Nichijou,"A group of students lead normal lives and cope with normal predicaments, but all too often find themselves in abnormal situations.",2011,"Animation, Comedy",,24 min,8.3,"3,031"
Rainbow,Children's puppet programme featuring music and stories.,1972–1992,"Animation, Family, Talk-Show",,22 min,6.9,941
Rupan sansei,"While attempting to win the affections of a beautiful rival, a master thief risks death to learn the secret intentions of a wealthy and seemingly immortal, but certainly ruthless, recluse.",1978,"Animation, Action, Adventure",,102 min,6.9,"1,487"
The Scooby-Doo/Dynomutt Hour,Scooby Doo and the gang solve mysteries; then Blue Falcon and Dynomutt fight crime in each two-part episode of this animated series.,1976–1978,"Animation, Adventure, Comedy",,24 min,7.6,"3,485"
Arslan Senki,"In the prosperous kingdom of Pars lies the Royal Capital of Ecbatana, a city of splendor and wonder, ruled by the undefeated and fearsome King Andragoras. Arslan is the young and curious ...                See full summary »",2015– ,"Animation, Action, Adventure",,24 min,7.5,"2,054"
Danger Mouse,The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.,2015–2022,"Animation, Action, Adventure",,22 min,7.1,631
The Creepy Witch,"Jasper Jackson, a young boy from a fishing village, risks his life to save the Stoneland's kingdom and its princess, Sophie Williams, possessed by the cruel witch Helena Minerva.",2023,Animation,,90 min,,
Gekijouban Bleach: Jigokuhen,"When Ichigo's sister Yuzu is kidnapped by sinners & he is asked to do something for them in order to get his sister released. Ichigo must find a way to take his sister back from hell with the help of Rukia, Renji & Uryu.",2010,"Animation, Action, Adventure",,94 min,7.3,"2,786"
Hell and Back,Two best friends set out to rescue their pal after he's accidentally dragged to hell.,2015,"Animation, Adventure, Comedy",A,86 min,5.3,"5,115"
The Point,"A father reads his son a bedtime story about young Oblio, who is banished from the fantastical kingdom of pointed heads and things for having no point.",1971,"Animation, Adventure, Family",,90 min,7.5,"2,877"
Piglet's Big Movie,"When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",2003,"Animation, Adventure, Comedy",,75 min,6.1,"8,099"
Hai to gensô no Grimgar,"Haruhiro suddenly wakes up, with no memory but his name. There are a lot of people around, but noone seems to know anything. Haruhiro forms a party of some of the people and start exploring.",2016,"Animation, Adventure, Drama",,24 min,7.4,"2,784"
Snezhnaya koroleva,"The Snow Queen created the world of eternal winter where the polar wind cools human souls and clearness of lines obscure emotions. A girl named Gerda, her pet ferret Luta, and Orm the troll must save her brother Kai and the world.",2012,"Animation, Adventure, Family",PG,80 min,5.3,"2,694"
Star Blazers,"In the year 2199, a starship must make a dangerous voyage to the distant planet Iscandar and back to save Earth from an alien invasion.",1979–1984,"Animation, Action, Adventure",,22 min,8.4,"1,446"
Rock Dog 2,"When Bodi and his band 'True Blue' leave Snow Mountain, to tour with pop sensation, Lil' Foxy, they learn that fame comes at a price.",2021,"Animation, Adventure, Comedy",,87 min,5.0,416
Tadeo Jones 2: El secreto del Rey Midas,"Tad Jones, the most awkward explorer, must rescue his beloved Sara from a millionaire who is looking for King Midas' necklace.",2017,"Animation, Adventure, Comedy",PG,85 min,6.2,"3,652"
Shin kidô senki Gundam W,A squadron of giant robot pilots of a beleaguered Earth colony bring the war to their oppressive home planet.,1995–1996,"Animation, Action, Adventure",,30 min,8.0,"4,632"
T.O.T.S.,Pip the penguin and Freddy the flamingo become the first non-stork employees for T.O.T.S (Tiny Ones Transport Service) who deliver babies to their parents.,2019–2022,"Animation, Short, Adventure",,22 min,6.8,433
Little Einsteins,Four friends go on missions with their ever changing rocket ship. Every mission includes a classic song and a painting.,2005–2010,"Animation, Adventure, Comedy",,,6.3,"2,022"
Hip Whip Girl: Keijo!!!!!!,"Young girls participate in a gambling sport known as ""Keijo"", in which contestants stand on floating platforms and must push each other off using their breasts and buttocks.",2016–2017,"Animation, Action, Comedy",,25 min,6.8,915
Charlie and Lola,Animation following a boy's efforts to get his stubborn little sister to try new things.,2005–2008,"Animation, Family",,22 min,6.6,"1,928"
Yoru wa mijikashi aruke yo otome,"In this comedy about one epic night in Kyoto, a college sophomore goes on a series of surreal encounters with the local nightlife, all the while unaware of the romantic longings of her classmate Senpai.",2017,"Animation, Adventure, Comedy",,92 min,7.5,"5,442"
Coppelia,"When everyone in town falls under the spell of charismatic cosmetic surgeon Doctor Coppelius, feisty Swan must save her sweetheart Franz before his heart is used to spark life into Coppelia, the robot-woman the Doctor has created.",2021,"Animation, Family, Sci-Fi",,82 min,6.0,131
Danger Mouse,"Danger Mouse, the greatest secret agent in the world, must follow Colonel K's orders (and try not to break Professor Squawkencluck's inventions) to foil Baron Greenback's and his henchman Stiletto's plans.",1981–1992,"Animation, Action, Adventure",,25 min,7.4,"3,642"
